Drug_name,drug_approved,drug_withdrawn,drugBank_id,cancer,comment,num_trials_similar_drug,original_num_trials,moa,target,disease.area,indication,phase,description,cancer_desc
Phenylalanine,True,False,DB00120,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Phenylalanine is an essential aromatic amino acid that is a precursor of melanin, [dopamine], [noradrenalin] (norepinephrine), and [thyroxine].",False
Succinic acid,True,False,DB00139,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,"ALDH5A1, ASPH, BBOX1, HSD17B6, OXCT1, OXCT2, P3H1, P3H2, P3H3, P4HA1, P4HA2, PLOD1, PLOD3, SDHA, SDHB, SDHC, SDHD, SLC13A1, SLC13A2, SLC13A3, SLC25A10, SUCLA2, SUCLG1, SUCLG2, SUCNR1, TMLHE",,,Launched,"A water-soluble, colorless crystal with an acid taste that is used as a chemical intermediate, in medicine, the manufacture of lacquers, and to make perfume esters. It is also used in foods as a sequestrant, buffer, and a neutralizing agent. (Hawley's Condensed Chemical Dictionary, 12th ed, p1099; McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed, p1851)",False
Glycine,True,False,DB00145,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,A non-essential amino acid. It is found primarily in gelatin and silk fibroin and used therapeutically as a nutrient. It is also a fast inhibitory neurotransmitter.,False
Thiamine,True,False,DB00152,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,vitamin B,"SLC19A2, SLC19A3, TPK1",metabolism,thiamine deficiency,Launched,"Thiamine or thiamin, also known as vitamin B1, is a colorless compound with the chemical formula C12H17N4OS. It is soluble in water and insoluble in alcohol. Thiamine decomposes if heated. Thiamine was first discovered by Umetaro Suzuki in Japan when researching how rice bran cured patients of Beriberi. Thiamine plays a key role in intracellular glucose metabolism and it is thought that thiamine inhibits the effect of glucose and insulin on arterial smooth muscle cell proliferation. Thiamine plays an important role in helping the body convert carbohydrates and fat into energy. It is essential for normal growth and development and helps to maintain proper functioning of the heart and the nervous and digestive systems. Thiamine cannot be stored in the body; however, once absorbed, the vitamin is concentrated in muscle tissue.",False
Lipoic acid,True,False,DB00166,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,A vitamin-like antioxidant.,False
Adenine,True,False,DB00173,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,protein synthesis stimulant,"ACACB, ACP1, APRT, MTAP, PECR, SRPK2",,,Preclinical,A purine base and a fundamental unit of adenine nucleotides.,False
Ethchlorvynol,True,True,DB00189,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Ethchlorvynol is a sedative and hypnotic drug. It has been used to treat insomnia, but has been largely superseded and is only offered where an intolerance or allergy to other drugs exists.",False
Carbidopa,True,False,DB00190,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Carbidopa presents a chemical denomination of N-amino-alpha-methyl-3-hydroxy-L-tyrosine monohydrate. It potently inhibits aromatic amino acid decarboxylase (DDC) and due to its chemical properties, it does not cross the blood-brain barrier. Due to its activity, carbidopa is always administered concomitantly with [levodopa]. An individual formulation containing solely carbidopa was generated to treat nausea in patients where the combination therapy [levodopa]/carbidopa is not efficient reducing nausea.[T394] 

The first approved product by the FDA containing only carbidopa was developed by Amerigens Pharmaceuticals Ltd and approved on 2014.[L5110] On the other hand, the combination treatment of carbidopa/levodopa was originally developed by Watson Labs but the historical information by the FDA brings back to the approval of this combination therapy developed by Mayne Pharma in 1992.[L5113]",False
Succinylcholine,True,False,DB00202,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"A quaternary skeletal muscle relaxant usually used in the form of its bromide, chloride, or iodide. It is a depolarizing relaxant, acting in about 30 seconds and with a duration of effect averaging three to five minutes. Succinylcholine is used in surgical, anesthetic, and other procedures in which a brief period of muscle relaxation is called for.",False
Dofetilide,True,False,DB00204,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,potassium channel blocker,"KCNH1, KCNH2, KCNJ12, KCNK2",,,Withdrawn,"Dofetilide is a class III antiarrhythmic agent that is approved by the Food and Drug Administration (FDA) for the maintenance of sinus rhythm in individuals prone to the formation of atrial fibrillation and flutter, and for the chemical cardioversion to sinus rhythm from atrial fibrillation and flutter.",False
